lat,lng,address
37.73438,-122.40404,"120-146 Augusta St, San Francisco, CA 94124, USA"
37.80015,-122.39434,"Pier 7, San Francisco, CA 94105, USA"
37.75398,-122.43434,"939 Castro St, San Francisco, CA 94114, USA"
37.79174,-122.47647,"1535 Pershing Dr, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.78425,-122.39834,"683 Folsom St, San Francisco, CA 94103, USA"
37.72838,-122.48834,"San Francisco Bicycle Route 86, San Francisco, CA 94132, USA"
37.73782,-122.43,"1-137 Addison St, San Francisco, CA 94131, USA"
37.784,-122.38793,"647-731 The Embarcadero, San Francisco, CA 94105, USA"
37.78381,-122.43996,"86 Garden St, San Francisco, CA 94115, USA"
37.78429,-122.47602,"California St & 16th Ave, San Francisco, CA 94118, USA"
37.78573,-122.406,"44 Ellis St, San Francisco, CA 94102, USA"
37.7146,-122.48397,"951-997 Brotherhood Way, San Francisco, CA 94132, USA"
37.74018,-122.39184,"1701-1799 Jerrold Ave, San Francisco, CA 94124, USA"
37.74601,-122.44014,"5177-5179 Diamond Heights Blvd, San Francisco, CA 94131, USA"
37.74999,-122.43619,"914 Diamond St, San Francisco, CA 94114, USA"
37.75799,-122.4702,"1611 Funston Ave, San Francisco, CA 94122, USA"
37.754,-122.41204,"2701-2799 San Francisco Bicycle Route 33, San Francisco, CA 94110, USA"
37.78616,-122.38682,"543-581 The Embarcadero, San Francisco, CA 94105, USA"
37.75805,-122.474,"1001-1099 Lawton St, San Francisco, CA 94122, USA"
37.762,-122.51004,"1280 Great Hwy, San Francisco, CA 94122, USA"
37.72435,-122.44817,"Sunnyside, San Francisco, CA, USA"
37.72259,-122.38107,"1900-1998 Fitch St, San Francisco, CA 94124, USA"
37.72614,-122.43842,"337-343 Capistrano Ave, San Francisco, CA 94112, USA"
37.76213,-122.40401,"2136 18th St, San Francisco, CA 94107, USA"
37.73379,-122.45199,"444-452 Melrose Ave, San Francisco, CA 94127, USA"
37.746,-122.46983,"2254 14th Ave, San Francisco, CA 94116, USA"
37.78399,-122.48825,"291 28th Ave, San Francisco, CA 94121, USA"
37.74198,-122.47239,"2470 16th Ave, San Francisco, CA 94116, USA"
37.79377,-122.48323,"Battery Chamberlin Rd, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.76801,-122.40383,"100-198 San Francisco Bicycle Route 123, San Francisco, CA 94103, USA"
37.78318,-122.51008,"2300 El Camino Del Mar, Golden Gate National Recreation Area, Lands End, San Francisco, CA 94121, USA"
37.75402,-122.49151,"1787 33rd Ave, San Francisco, CA 94122, USA"
37.8003,-122.43206,"1863 Lombard St, San Francisco, CA 94123, USA"
37.79004,-122.48431,"Gibson Rd, Golden Gate National Recreation Area, San Francisco, CA 94121, USA"
37.76605,-122.45798,"15 Lincoln Way, San Francisco, CA 94122, USA"
37.762,-122.47596,"1377-1399 18th Ave, San Francisco, CA 94122, USA"
37.73202,-122.48361,"116 Forest View Dr, San Francisco, CA 94132, USA"
